win_probability,pot_odds,street,stack_to_pot,opponent_bet_ratio,players_left,action,won_hand
0.52,0.0,3,16.166666666666668,0.0,2,call,True
0.24,0.0,3,16.166666666666668,0.0,2,call,False
0.4,0.4,0,66.66666666666667,0.6666666666666666,3,call,False
0.7,0.16666666666666666,0,39.8,0.2,3,raise,True
0.42,0.2857142857142857,0,19.8,0.4,3,call,False
0.32,0.2222222222222222,0,14.142857142857142,0.2857142857142857,3,call,False
0.7,0.0,1,10.777777777777779,0.0,3,raise,True
0.22,0.15384615384615385,1,8.818181818181818,0.18181818181818182,3,call,False
0.2,0.13333333333333333,1,7.461538461538462,0.15384615384615385,3,call,False
0.58,0.0,2,6.333333333333333,0.0,3,call,True
0.16,0.0,2,6.333333333333333,0.0,3,call,False
0.14,0.0,2,6.333333333333333,0.0,3,call,False
0.66,0.0,3,6.333333333333333,0.0,3,raise,True
0.14,0.10526315789473684,3,5.588235294117647,0.11764705882352941,3,call,False
0.14,0.09523809523809523,3,5.0,0.10526315789473684,3,call,False
0.34,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.58,0.25,0,66.33333333333333,0.3333333333333333,2,call,False
0.62,0.0,0,49.5,0.0,2,raise,True
0.48,0.3333333333333333,0,24.75,0.5,2,call,False
0.52,0.0,1,16.166666666666668,0.0,2,call,False
0.6,0.0,1,16.166666666666668,0.0,2,call,True
0.4,0.0,2,16.166666666666668,0.0,2,call,False
0.62,0.0,2,16.166666666666668,0.0,2,raise,True
0.52,0.2,2,12.125,0.25,2,call,False
0.4,0.0,3,9.5,0.0,2,call,False
0.48,0.0,3,9.5,0.0,2,call,True
0.32,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.56,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.38,0.0,0,49.5,0.0,2,call,False
0.3,0.0,1,49.5,0.0,2,call,True
0.58,0.0,1,49.5,0.0,2,call,False
0.74,0.0,2,49.5,0.0,2,raise,True
0.58,0.25,2,33.0,0.3333333333333333,2,call,False
0.8,0.0,3,24.5,0.0,2,raise,True
0.6,0.25,3,16.333333333333332,0.3333333333333333,2,call,False
0.26,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.44,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.38,0.0,0,49.5,0.0,2,call,False
0.9,0.0,1,49.5,0.0,2,raise,True
0.62,0.4900990099009901,1,1.9223300970873787,0.9611650485436893,2,call,False
0.82,0.0,2,0.4900990099009901,0.0,2,raise,True
0.4,0.16422872340425532,2,0.3937947494033413,0.19649960222752585,2,call,False
0.94,0.0,3,0.16489361702127658,0.0,2,raise,True
0.36,0.07077625570776255,3,0.15233415233415235,0.07616707616707617,2,call,False
0.42,0.4,0,66.66666666666667,0.6666666666666666,3,call,True
0.3,0.16666666666666666,0,39.8,0.2,3,call,False
0.44,0.0,0,33.0,0.0,3,call,False
0.2,0.0,1,33.0,0.0,3,call,False
0.18,0.0,1,33.0,0.0,3,call,False
0.3,0.0,1,33.0,0.0,3,call,True
0.16,0.0,2,33.0,0.0,3,call,False
0.18,0.0,2,33.0,0.0,3,call,False
0.22,0.0,2,33.0,0.0,3,call,True
0.14,0.0,3,33.0,0.0,3,call,False
0.16,0.0,3,33.0,0.0,3,call,False
0.4,0.0,3,33.0,0.0,3,call,True
0.32,0.4,0,66.66666666666667,0.6666666666666666,3,fold,False
0.42,0.25,0,66.33333333333333,0.3333333333333333,2,call,True
0.44,0.0,0,49.5,0.0,2,call,False
0.56,0.0,1,49.5,0.0,2,call,True
0.6,0.0,1,49.5,0.0,2,call,False
0.64,0.0,2,49.5,0.0,2,raise,True
0.54,0.3333333333333333,2,24.75,0.5,2,call,False
0.7,0.0,3,16.166666666666668,0.0,2,raise,True
